Player_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2544,11.43,21.8,0.52,2.88,8.0,0.36,4.54,6.0,0.77,1.12,7.07,8.2,6.23,1.3,1.05,3.5,2.16,30.27
2546,4.62,10.48,0.44,2.16,5.75,0.35,1.91,2.3,0.6,0.9,3.28,4.17,0.99,0.68,0.75,0.86,2.41,13.32
2617,1.08,2.38,0.44,0.08,0.31,0.08,0.23,0.23,0.08,0.31,1.62,1.92,0.31,0.08,0.08,0.38,1.15,2.46
2730,2.23,3.65,0.55,0.13,0.25,0.11,1.6,2.43,0.48,1.97,3.97,5.93,0.58,0.57,0.6,0.78,1.92,6.2
2738,1.48,3.9,0.37,0.55,2.39,0.22,0.48,0.65,0.24,0.68,2.55,3.23,3.68,0.87,0.71,0.9,1.1,4.0
2772,1.38,4.12,0.37,0.83,3.08,0.3,0.42,0.75,0.2,0.42,3.0,3.42,1.12,0.54,0.25,0.46,0.83,4.0
101108,5.58,11.32,0.5,0.97,3.06,0.29,2.6,3.11,0.68,0.34,4.02,4.35,10.8,1.86,0.31,2.35,2.06,14.74
101150,2.23,5.71,0.39,0.66,1.82,0.35,1.2,1.39,0.46,0.29,1.27,1.55,1.88,0.5,0.05,0.77,0.86,6.32
200746,5.36,9.74,0.5,0.3,0.98,0.11,1.89,2.17,0.66,1.55,3.94,5.49,0.89,0.3,1.0,0.94,1.66,12.91
200752,2.85,6.89,0.4,1.27,3.69,0.33,1.13,1.44,0.46,1.0,3.4,4.4,1.02,0.45,0.35,0.85,1.73,8.11
200765,1.74,4.51,0.33,0.79,2.26,0.26,0.49,0.67,0.14,0.38,2.38,2.77,4.36,0.77,0.15,1.74,1.44,4.77
200768,4.38,9.95,0.42,2.29,6.06,0.37,2.35,2.76,0.63,0.52,3.95,4.48,7.52,1.06,0.27,2.67,2.81,13.4
200782,2.92,6.03,0.49,1.13,2.72,0.35,0.63,0.86,0.23,1.41,4.04,5.45,2.1,0.82,0.21,0.93,2.27,7.59
200794,1.36,3.48,0.3,0.24,1.06,0.11,0.52,0.73,0.19,1.24,2.21,3.45,0.88,0.3,0.39,0.58,2.03,3.48
201142,10.51,20.27,0.53,2.09,5.45,0.39,6.76,7.44,0.9,0.53,6.87,7.4,6.38,0.87,0.95,3.47,2.05,29.87
201143,3.86,8.25,0.46,1.29,3.84,0.33,1.16,1.38,0.4,1.57,6.12,7.68,3.36,0.71,1.33,0.94,1.88,10.16
201144,4.78,10.99,0.43,2.35,5.75,0.39,1.79,2.25,0.55,0.65,2.36,3.01,5.35,1.33,0.29,1.71,1.97,13.69
201145,3.69,7.05,0.51,0.71,2.24,0.22,2.2,2.64,0.66,0.55,2.53,3.08,1.28,0.37,0.36,0.95,2.01,10.29
201152,2.71,5.23,0.45,0.33,0.92,0.16,0.44,0.94,0.2,1.54,2.46,4.0,2.0,1.04,0.35,1.0,1.56,6.19
201565,4.69,10.54,0.42,1.42,3.54,0.33,1.15,1.19,0.46,0.81,2.19,3.0,3.96,0.85,0.46,1.5,0.58,11.96
201566,7.03,15.81,0.44,1.01,3.4,0.26,3.41,5.12,0.59,1.41,6.03,7.44,7.05,0.96,0.26,3.78,3.01,18.47
201567,4.42,10.28,0.42,2.53,6.45,0.36,2.24,2.68,0.57,1.18,6.07,7.24,2.16,0.35,0.24,1.32,1.36,13.61
201568,3.92,9.05,0.44,1.7,4.45,0.38,2.14,2.36,0.62,0.53,4.14,4.67,1.53,0.42,0.18,0.58,1.41,11.68
201569,4.7,9.89,0.47,2.18,5.28,0.41,1.84,2.37,0.56,0.26,1.72,1.98,2.7,0.49,0.32,1.88,1.11,13.42
201571,1.71,4.04,0.37,1.24,2.98,0.36,0.69,0.78,0.27,0.2,1.04,1.24,1.95,0.31,0.02,1.02,0.71,5.35
201572,4.69,10.08,0.44,1.46,4.08,0.33,1.54,1.77,0.38,1.46,2.62,4.08,0.46,0.62,1.15,0.92,2.62,12.38
201577,3.06,5.53,0.49,0.06,0.17,0.06,0.89,1.5,0.37,1.89,1.61,3.5,1.5,0.06,0.5,1.22,1.86,7.06
201580,3.89,6.19,0.64,0.03,0.12,0.02,1.38,1.97,0.46,2.2,4.5,6.7,0.57,0.3,1.09,1.32,2.45,9.19
201586,2.74,5.48,0.44,0.69,1.83,0.3,0.59,0.81,0.3,1.15,3.48,4.63,0.91,0.2,0.61,0.8,1.89,6.76
201587,3.03,6.56,0.43,1.83,4.58,0.34,0.42,0.64,0.15,0.49,3.81,4.31,1.69,0.98,0.71,0.68,1.36,8.32
201588,2.19,5.09,0.39,0.76,2.48,0.24,1.06,1.15,0.42,0.7,2.17,2.87,2.22,0.78,0.11,0.76,1.3,6.19
201599,1.92,2.98,0.57,0.0,0.0,0.0,0.46,0.83,0.22,1.73,3.77,5.5,0.44,0.25,0.73,0.77,1.48,4.29
201609,2.71,7.19,0.34,0.76,3.0,0.23,1.29,1.57,0.44,0.62,2.48,3.1,4.1,0.9,0.19,1.62,2.14,7.48
201933,2.38,5.59,0.37,0.68,2.59,0.18,0.98,1.36,0.4,1.07,3.0,4.07,1.88,0.48,0.25,0.55,1.7,6.41
201935,6.26,15.26,0.41,2.28,6.89,0.32,7.23,8.25,0.88,0.85,6.85,7.69,10.26,1.26,0.55,4.37,2.35,22.03
201937,4.38,12.09,0.34,1.74,5.12,0.33,2.59,3.03,0.72,0.44,3.71,4.15,6.62,1.44,0.21,2.65,2.21,13.09
201939,8.36,19.12,0.43,4.45,11.72,0.37,4.3,4.66,0.79,0.53,4.7,5.23,6.31,1.33,0.36,3.22,2.03,25.47
201942,10.18,20.2,0.5,0.66,1.87,0.31,6.84,7.8,0.85,0.74,4.42,5.16,4.92,0.89,0.32,2.38,2.34,27.87
201949,2.32,4.95,0.44,0.37,1.37,0.16,0.47,0.89,0.2,0.82,2.65,3.47,2.1,0.48,0.55,0.77,2.61,5.48
201950,7.13,14.24,0.5,1.97,4.79,0.41,2.04,2.69,0.55,1.03,3.46,4.49,6.82,1.61,0.43,2.73,1.99,18.28
201959,1.65,3.19,0.43,0.29,0.73,0.17,0.81,1.0,0.35,1.69,2.71,4.4,0.62,0.42,0.77,0.52,2.63,4.4
201961,2.28,5.51,0.43,1.91,4.91,0.42,0.21,0.26,0.11,0.23,1.56,1.79,0.7,0.53,0.12,0.44,0.98,6.67
201976,3.05,7.52,0.4,1.43,4.17,0.31,1.66,2.29,0.5,1.07,3.07,4.14,4.62,1.16,0.9,1.26,3.0,9.19
201980,2.03,5.16,0.38,1.66,4.37,0.37,0.18,0.23,0.08,0.52,2.02,2.53,1.03,0.97,0.6,0.73,1.69,5.9
201988,4.0,9.8,0.39,2.8,7.01,0.39,0.59,0.73,0.2,0.22,1.7,1.93,2.26,0.63,0.21,0.9,1.38,11.4
202066,1.88,5.0,0.33,1.0,3.14,0.28,0.47,0.69,0.21,0.49,1.93,2.42,1.25,0.73,0.39,0.71,1.37,5.24
202324,2.41,4.67,0.47,0.05,0.41,0.05,0.41,0.64,0.2,1.49,3.23,4.72,0.64,0.44,0.31,0.23,1.59,5.28
202330,5.78,12.59,0.44,1.76,4.49,0.4,2.57,3.04,0.58,0.78,3.8,4.57,3.61,0.96,0.45,1.65,1.73,15.88
202331,8.65,20.52,0.42,2.94,8.29,0.35,4.1,4.77,0.62,0.39,6.48,6.87,5.68,2.16,0.42,4.06,2.39,24.32
202339,3.65,8.67,0.42,0.94,3.02,0.28,1.65,2.17,0.56,0.52,2.85,3.37,4.17,1.28,0.35,2.15,1.57,9.89
202340,2.39,5.65,0.38,1.32,3.39,0.36,0.26,0.29,0.15,0.5,1.69,2.19,0.76,0.85,0.15,0.61,1.9,6.35
202355,3.31,5.08,0.62,0.0,0.0,0.0,1.6,2.57,0.51,2.55,5.05,7.6,0.4,0.34,1.58,0.82,2.75,8.22
202357,2.25,4.82,0.48,0.76,2.1,0.28,0.83,1.14,0.36,0.87,3.27,4.14,2.24,0.58,0.37,1.23,1.8,6.1
202397,2.85,6.62,0.36,0.38,1.03,0.2,0.23,0.37,0.12,0.38,1.77,2.15,3.75,0.72,0.35,1.2,1.2,6.31
202681,9.97,21.24,0.47,3.45,8.24,0.39,4.07,4.45,0.79,0.55,3.83,4.38,5.76,1.41,0.59,2.52,2.79,27.45
202683,1.46,2.77,0.4,0.06,0.14,0.06,0.69,0.8,0.3,1.74,2.83,4.57,0.23,0.14,0.4,0.57,1.2,3.66
202684,2.47,4.68,0.45,0.02,0.05,0.02,1.07,2.04,0.33,2.11,2.95,5.05,0.6,0.4,0.37,0.79,1.72,6.04
202685,6.89,12.68,0.55,0.77,2.14,0.29,3.2,3.91,0.74,3.05,8.34,11.39,2.57,0.55,0.81,2.42,3.34,17.76
202689,4.03,10.0,0.37,1.97,5.38,0.29,1.62,1.92,0.48,0.38,2.62,3.0,3.54,0.7,0.19,1.3,1.0,11.65
202691,7.69,17.91,0.42,3.56,9.25,0.37,1.44,1.59,0.48,0.47,3.44,3.91,2.75,0.5,0.53,1.34,1.69,20.38
202692,3.52,8.99,0.38,1.94,4.8,0.4,2.68,3.26,0.67,0.58,4.32,4.9,2.95,1.05,0.32,1.12,2.65,11.65
202693,3.18,6.71,0.46,0.76,2.29,0.29,0.47,0.53,0.26,1.0,1.65,2.65,1.35,0.35,0.06,1.18,1.94,7.59
202694,5.56,12.8,0.41,1.87,5.09,0.32,2.39,2.74,0.68,0.48,3.94,4.43,2.09,0.52,0.33,1.28,2.13,15.37
202696,7.48,15.81,0.47,1.42,4.53,0.28,1.26,1.66,0.45,1.95,9.07,11.01,3.23,0.96,0.97,1.86,2.48,17.64
202699,6.75,14.0,0.48,1.38,3.77,0.33,2.33,2.77,0.64,1.05,5.74,6.79,3.45,0.64,0.59,1.59,2.25,17.22
202704,6.39,16.29,0.38,2.23,6.83,0.32,1.84,2.17,0.55,0.52,3.09,3.61,4.79,0.73,0.2,2.31,2.12,16.84
202709,2.74,6.15,0.42,1.0,2.42,0.34,1.54,1.74,0.58,0.45,2.23,2.68,3.65,0.65,0.26,1.31,2.26,8.02
202710,6.98,14.54,0.47,0.47,2.04,0.16,6.95,7.98,0.88,1.79,4.11,5.89,5.47,1.65,0.47,2.12,1.54,21.39
202711,6.12,13.45,0.45,2.62,6.78,0.37,3.23,3.77,0.72,0.84,3.45,4.29,1.74,0.49,0.01,1.71,1.68,18.09
202722,1.77,4.91,0.32,1.38,4.11,0.29,0.64,0.71,0.32,0.21,1.88,2.09,0.55,0.3,0.21,0.34,1.52,5.55
203076,9.25,17.38,0.54,0.32,1.75,0.14,4.35,6.1,0.68,2.65,7.2,9.85,3.05,1.23,2.25,2.05,2.42,23.18
203078,8.7,19.27,0.45,1.58,5.25,0.3,4.22,5.08,0.78,0.95,3.78,4.72,6.62,0.9,0.38,3.38,2.38,23.2
203081,7.66,19.03,0.4,3.17,9.79,0.32,5.48,6.24,0.86,0.45,3.69,4.14,7.31,0.59,0.38,2.86,1.28,23.97
203082,3.49,8.79,0.36,1.22,4.19,0.26,1.78,2.06,0.47,0.32,2.24,2.56,1.84,0.44,0.19,1.19,1.08,9.98
203083,3.38,5.93,0.56,0.0,0.04,0.0,1.18,2.25,0.33,3.14,6.18,9.32,1.79,1.07,0.93,1.58,2.63,7.95
203084,5.08,10.83,0.46,1.84,4.68,0.37,4.43,5.36,0.74,1.06,4.55,5.61,2.42,0.69,0.18,1.53,1.22,16.43
203085,2.18,5.22,0.37,1.18,3.45,0.3,0.48,0.66,0.2,0.28,1.42,1.7,1.34,0.76,0.09,0.81,1.81,6.01
203087,2.38,6.2,0.37,0.98,3.04,0.3,1.59,1.89,0.54,0.46,2.29,2.75,1.45,0.55,0.39,0.66,1.05,7.32
203090,1.77,3.85,0.36,0.66,2.15,0.2,0.43,0.6,0.19,0.26,2.13,2.38,0.49,0.62,0.51,0.66,1.64,4.62
203095,5.03,12.06,0.39,3.01,7.74,0.36,1.0,1.41,0.36,0.42,2.2,2.62,2.14,0.99,0.25,1.31,2.25,14.06
203107,1.31,3.47,0.33,0.2,0.96,0.12,0.78,0.98,0.34,0.49,1.8,2.29,3.35,0.53,0.09,0.84,1.29,3.6
203109,3.24,8.12,0.4,1.9,5.45,0.35,1.06,1.34,0.37,0.45,4.84,5.28,1.85,1.42,0.45,0.82,2.58,9.43
203110,2.93,5.59,0.49,0.35,1.17,0.21,1.3,1.98,0.42,0.98,6.33,7.3,6.96,1.33,1.09,3.02,2.96,7.52
203114,6.85,15.47,0.44,2.45,6.58,0.36,3.92,4.41,0.81,0.62,4.77,5.39,5.42,1.15,0.27,2.88,2.42,20.08
203115,5.52,12.62,0.43,2.21,6.06,0.36,1.44,1.79,0.56,0.62,4.17,4.79,3.89,0.77,0.44,1.79,1.61,14.69
203145,1.15,3.56,0.28,0.74,2.05,0.28,0.33,0.44,0.16,0.33,1.44,1.77,0.87,0.64,0.23,0.54,1.79,3.38
203200,3.53,8.95,0.39,2.39,6.51,0.37,0.68,0.84,0.28,0.39,2.18,2.57,1.73,0.77,0.45,0.95,2.08,10.12
203210,2.37,4.88,0.46,0.49,1.85,0.2,1.21,1.39,0.38,1.21,2.99,4.19,0.88,0.64,0.39,0.85,2.36,6.45
203457,1.28,2.4,0.49,0.0,0.12,0.0,0.84,1.2,0.36,1.92,3.72,5.64,0.92,1.2,1.24,0.8,2.68,3.4
203458,2.41,4.51,0.55,0.15,0.54,0.1,1.05,1.62,0.37,1.33,2.79,4.13,1.15,0.33,0.64,1.1,2.56,6.03
203463,3.38,8.42,0.36,2.36,6.52,0.33,1.12,1.38,0.34,0.19,1.42,1.61,0.92,0.59,0.16,0.86,1.61,10.23
203468,8.65,18.77,0.45,2.94,7.56,0.37,1.87,2.74,0.52,0.85,3.48,4.34,5.08,1.13,0.35,2.05,1.95,22.1
203469,1.89,3.33,0.54,0.0,0.15,0.0,1.41,1.81,0.44,1.85,2.78,4.63,0.81,0.3,0.22,0.7,2.07,5.19
203471,4.88,11.31,0.4,1.34,3.91,0.27,2.45,2.88,0.7,0.53,2.81,3.34,4.62,0.83,0.12,2.23,2.41,13.55
203473,2.45,4.33,0.52,0.28,0.7,0.19,1.12,1.49,0.44,1.57,4.19,5.76,0.7,0.36,0.63,1.04,2.6,6.3
203476,1.2,2.55,0.4,0.66,1.55,0.31,0.43,0.59,0.2,0.73,2.02,2.75,0.77,0.25,0.3,0.45,1.18,3.5
203482,3.2,7.15,0.45,1.0,2.98,0.31,1.72,2.22,0.55,1.35,3.08,4.42,2.78,0.78,0.48,1.45,2.5,9.12
203484,4.69,10.77,0.43,2.06,5.3,0.36,1.78,2.0,0.54,0.53,2.86,3.39,1.88,1.08,0.34,1.26,1.81,13.22
203486,2.81,4.38,0.64,0.0,0.03,0.0,0.92,2.34,0.34,2.41,5.33,7.74,3.1,0.84,0.71,1.37,3.07,6.53
203488,2.63,5.77,0.49,1.63,3.79,0.42,1.12,1.33,0.37,0.49,2.51,3.0,0.51,0.42,0.6,0.33,1.35,8.0
203490,3.06,6.6,0.44,1.27,3.43,0.3,0.78,0.97,0.28,1.37,4.38,5.75,1.49,1.08,0.46,0.59,1.32,8.17
203493,2.96,7.37,0.37,2.07,5.76,0.32,0.59,0.71,0.34,0.49,3.06,3.54,1.22,0.6,0.21,0.59,1.63,8.57
203496,2.94,7.01,0.41,1.8,4.77,0.35,0.82,0.97,0.32,0.83,4.68,5.51,1.3,1.45,1.28,1.06,2.68,8.51
203497,5.48,7.7,0.72,0.0,0.06,0.0,4.59,6.65,0.64,3.65,11.02,14.67,1.09,0.68,2.08,1.8,2.67,15.56
203500,2.76,5.05,0.55,0.0,0.01,0.0,1.42,2.62,0.37,4.59,5.41,10.0,3.37,0.86,0.79,1.51,2.01,6.95
203501,4.98,12.62,0.39,2.43,7.24,0.32,1.86,2.45,0.54,0.31,3.4,3.71,2.19,0.9,0.14,0.81,1.76,14.24
203503,1.3,3.23,0.33,0.85,2.42,0.26,0.08,0.08,0.06,0.3,1.64,1.94,0.53,0.3,0.17,0.36,1.32,3.53
203504,2.0,5.12,0.29,0.62,1.95,0.23,0.48,0.55,0.18,0.1,0.69,0.79,1.36,0.29,0.0,0.62,0.93,5.1
203506,4.38,9.12,0.45,1.88,4.5,0.31,1.75,2.38,0.44,0.38,2.5,2.88,3.5,0.62,0.12,2.0,1.62,12.38
203507,10.28,18.58,0.55,1.06,3.61,0.27,8.25,11.43,0.73,2.0,9.61,11.61,5.79,1.07,1.36,3.27,3.16,29.88
203524,0.23,1.54,0.08,0.15,1.0,0.04,0.0,0.0,0.0,0.46,1.31,1.77,0.92,0.31,0.15,0.08,1.23,0.62
203526,2.91,6.3,0.43,0.5,1.71,0.24,1.19,1.54,0.38,0.19,1.73,1.91,3.1,0.79,0.04,1.13,1.49,7.51
203552,5.62,11.55,0.47,2.47,5.84,0.43,1.28,1.47,0.45,0.33,2.8,3.12,3.59,0.83,0.22,1.7,2.31,15.0
203585,1.92,4.41,0.33,1.14,2.86,0.26,0.37,0.51,0.12,0.61,1.57,2.18,0.94,0.41,0.14,0.47,1.14,5.35
203648,1.46,2.67,0.35,0.04,0.29,0.02,0.6,0.96,0.22,0.83,1.27,2.1,0.46,0.33,0.25,0.54,1.42,3.56
203897,8.43,17.7,0.47,2.76,7.09,0.37,4.78,5.6,0.77,0.33,4.27,4.6,4.52,0.61,0.34,2.55,1.79,24.4
203901,1.34,3.5,0.33,0.08,0.36,0.05,0.24,0.64,0.12,0.42,1.34,1.76,1.98,0.5,0.12,0.94,0.76,3.0
203903,5.9,14.09,0.41,2.41,7.56,0.31,1.82,2.2,0.62,0.85,2.61,3.46,2.46,0.84,0.2,1.63,1.89,16.03
203914,3.93,9.07,0.42,1.9,4.95,0.35,1.36,1.56,0.47,0.59,1.41,2.0,1.77,0.97,0.15,1.0,1.84,11.13
203915,4.57,10.97,0.4,1.67,4.93,0.3,2.91,3.76,0.64,0.67,3.49,4.16,5.16,0.66,0.19,1.55,2.24,13.72
203918,1.12,3.02,0.34,0.58,1.75,0.28,0.33,0.37,0.17,0.29,1.19,1.48,0.73,0.29,0.12,0.21,0.6,3.13
203920,1.76,3.64,0.41,0.0,0.25,0.0,0.96,1.29,0.41,2.22,2.13,4.35,1.02,0.55,0.47,0.53,1.89,4.49
203924,6.34,14.87,0.42,1.94,5.4,0.35,4.62,5.51,0.76,0.6,3.47,4.06,2.36,0.94,1.04,1.81,2.28,19.23
203925,4.0,8.86,0.47,2.93,6.29,0.48,0.36,0.43,0.18,0.36,3.64,4.0,1.0,0.5,0.14,1.14,2.21,11.29
203926,4.22,9.12,0.45,2.12,5.02,0.37,0.78,1.0,0.33,0.35,1.9,2.25,1.25,0.25,0.12,0.84,1.55,11.33
203932,5.79,11.12,0.52,1.16,3.47,0.33,2.28,3.07,0.58,1.67,4.19,5.85,2.51,0.59,0.59,1.77,1.97,15.01
203935,4.23,10.11,0.41,1.68,5.07,0.3,2.0,2.52,0.56,0.59,3.21,3.8,5.87,1.68,0.25,2.24,2.25,12.13
203937,3.03,6.8,0.43,0.52,1.58,0.23,0.97,1.52,0.36,1.0,4.33,5.33,2.65,1.12,0.65,1.03,1.57,7.55
203939,3.28,4.89,0.65,0.16,0.45,0.13,2.02,2.59,0.56,2.11,2.82,4.93,1.18,0.45,0.48,0.78,2.68,8.74
203944,7.11,17.31,0.4,1.67,5.42,0.26,4.21,5.57,0.69,1.74,8.21,9.94,5.14,0.74,0.54,3.4,2.85,20.1
203952,6.51,13.96,0.46,2.15,5.47,0.37,2.04,3.22,0.5,1.16,3.29,4.45,2.21,1.04,0.7,1.52,2.16,17.21
203953,1.5,3.17,0.39,0.67,1.33,0.31,0.75,0.75,0.42,0.42,1.92,2.33,0.5,0.33,0.08,0.67,1.08,4.42
